business_type,message_template
"Property dealer","Hi {{name}}, thank you for working with {{business_name}} for your property needs. Your feedback helps future buyers and tenants—could you share your experience? {{link}}"
"Real estate agent","Hi {{name}}, thank you for working with {{business_name}} for your property needs. Your feedback helps future buyers and tenants—could you share your experience? {{link}}"
"Restaurant","Hi {{name}}, thank you for dining with us at {{business_name}}. We’d really appreciate if you could share how your food and experience were: {{link}}"
"Salon","Hi {{name}}, it was lovely having you at {{business_name}}. Your review helps others find us—could you rate your visit? {{link}}"
"Sanitary shop","Hi {{name}}, thank you for purchasing from {{business_name}}. Your review helps contractors and homeowners trust our products—could you share your experience? {{link}}"
"Skin clinic","Hi {{name}}, we appreciate your visit to {{business_name}}. Your feedback helps us treat patients better—would you mind rating your experience? {{link}}"
"Spa","Hi {{name}}, it was lovely having you at {{business_name}}. Your review helps others find us—could you rate your visit? {{link}}"
"Stationery shop","Hi {{name}}, thank you for choosing {{business_name}} for your printing/stationery needs. A short review from you would be very helpful: {{link}}"
"Studio","Hi {{name}}, it was a pleasure capturing your moments with {{business_name}}. Please tell us how we did by leaving a quick review: {{link}}"
"Tile shop","Hi {{name}}, thank you for purchasing from {{business_name}}. Your review helps contractors and homeowners trust our products—could you share your experience? {{link}}"
"Tour operator","Hi {{name}}, we hope you enjoyed your trip planned by {{business_name}}. Please share your experience—it helps other travellers choose us with confidence: {{link}}"
"Training institute","Hi {{name}}, thanks for choosing {{business_name}} for your learning journey. Please share your experience so far—it really helps parents and students like you: {{link}}"
"Travel agency","Hi {{name}}, we hope you enjoyed your trip planned by {{business_name}}. Please share your experience—it helps other travellers choose us with confidence: {{link}}"
"Tuition class","Hi {{name}}, thanks for choosing {{business_name}} for your learning journey. Please share your experience so far—it really helps parents and students like you: {{link}}"
"Tyre shop","Hi {{name}}, thank you for getting your vehicle serviced at {{business_name}}. Please tell us how we did by leaving a quick review: {{link}}"
"Veterinary clinic","Hi {{name}}, thank you for visiting {{business_name}} with your pet. Please share how your experience was—it helps other pet parents find us: {{link}}"
"Yoga studio","Hi {{name}}, thank you for working out with us at {{business_name}}. A quick review from you would really motivate our team and new members: {{link}}"
